Catergory,Question,Answer,Kick
Movie,1-1. Tell me about your pattern of watching movies,"(Opening) Ok, ok, I'm gonna tell ya about my patterns~",(반갑게)
,,"(When, with whom) Weekdays->busy, only weekends","(눼눼), a kind of baby-sitting"
,,(Where) World tower in the mall,ten-minute walk away
,,(How) Before : pop-up store / After : lunch for Korean dining,"(급박하게), scramble to add our slot, two thousand waiting number"
,,(Closeing) All right! That's it,
Movie,"1-2. You indicated in the survey that you like to watching movies. Tell me about your favorite movie theater. Where is it located and why do you like to go there? If you have any special reasons for going there, please tell me.","(Opening) My favorite theater? My top pick is ""World tower""","my top pick, made me a movie buff"
,,(Why-1) Inside/Outside shopping mall,"(능청스럽게), five-star hotel, stroll over the lawn"
,,"(Why-2) up-to-date technologies, family booth, (chalotte)","(들떠서), up-to-date technologies, to the fullest, family booth"
,,"(Close) Eva, where do you live and why don't you ~~ nearby?",
Movie,1-3. Tell me about your favorite actor or actress. Why do you like him? When did you watch his movie for the first time?,(Opening) My favorite actor!! first saw with my father,"(들떠서), a movie buff, hooked on him"
,,"(Reason1) brings out every sentiment, understanding of personality","brings out every sentiment, gives a life to the character, a little arrogance with wit"
,,"(Reason2) The charactor Tony. resembles Elon","resembles him, a dreamer, before I die"
,,(Close) sad bucaz Robert died. he will return. hope see him in he near future,"(슬프게→희망차게), in the near future"
Movie,"1-4. Tell me about the memorable movie that you have ever watched. What is the story about and who were main actors. When did you watch it? With Whom did you watch it? After watching that movie, how did you feel. Please tell me all the things in detail.","(Opening) All right, all right, You waana know about my top-pick movie?","(속삭이며), my top-secret"
,,"(Story) Robert, Chris Evans leading roles, two strong personalities, heroes fell aprat and scattered, united we stand","leading roles, two strong personalities, fell apart, united we stand"
,,"gorgeous AI, a killing point, agentic AI, have referred to this movie, A to Z, blue print","a killing point, agentic AI, a far ideal, from A to Z, blueprint"
,,Avengers:Doom's day will be released this December. I can't wait to see them!,can't wait to see them
Movie,1-5. Have you ever heard about any gossips about your favorte celebrities? If then what is it? Tell me all the things that you have heard in as detail as you can.,"Oh. gossips over Robert? legendary, tons of gossips","legendary, tons of gossip"
,,"wanna know more about Robert, addcited to drugs, wandered into a stranger's home","addicted to drugs, wandered into a stranger's home, ended up in jail"
,,"quit the drug. a bite of burger, drug messed up everything of Robert, even the taste, excercise, meditation, yoga","a bite of burger, messed up everything, even the taste, quit the drug"
,,celebrities are more vulnerable to drugs becuase they are lonely. I hope~,"vulnerable to drugs, rebuild their life"
Movie,1-6. Compare the movies today to those that you saw while you were growing up. Discuss how movies have changed. Tell me about the similarities and differences between them,"I often watch old movice with my two littel sons, realizing changes of movies over time.",over time
,,"(production method) Frog and toad 1985, stop-motion animation, clay animation, did not end even in the era of Walt disney, thousands of hand-drawn prictures, computer graphics AI","stop-motion, clay animation, labor-intensive, hand-drawn, with the aid of AI"
,,"(watching method) video rentals, Netflix, OTT popular,","video rentals, OTT, it's a pity, leaving it to our memory"
,,"(Similarities) time-travel with my sons. feel like going back to my youth,","having a time-travel, going back to my youth, bring happiness"
Movie,"1-7. Please tell me about your favorite movie genre. Have there been any changes in your preference of movie genres over the years? If so, how has it changed? Please tell me everything in detail","I like animations a lot because of my children. pocket monster my favortite, and does my children. Pickachu, crazy about it.  Time traveling. real charm.","crazy about it, time traveling, the real charm"
,,"Teenager, actions movive, tony stark, iron man, also sci-fi elements combined, but I rather feel relaxed and laugh things off","felt a thrill, smashed evils, blowing my stress away, laugh things off"
,,This is my change in my preference over the years. What about you eva? Which genre is your favorite?,over the years
Concert,2-1. Please tell me about a recent concert that you've been to. Where was it and when did you go? And who did you go with? How was the concert?,(뭉개기) I have a lot of things to tell you,sooooo many things
,,Cold play came to hyundai card concert,"premium cardholder, VIP ticket, right in front of the stage"
,,Jamsil Stadium. Atmospheres,"mind-blowing, had a blast, the time of my life, blown away, choreography, moved to the groove, heated up the stage, the atmosphere was electric"
,,"Eva, if you have a chance, you should not miss it!",you should not miss it
Concert,"2-2. Do you have any unpleasant memory when you were at the concert hall? If then, what was it? How did you solve that problem? Please tell me in detail",brought back some painfule memories,"brought back painful memories, makes me shudder"
,,"got on the bus to pay for my fare, I lost my wallet","pay for my fare, not a single penny"
,,"scramble off the bus, deactivate the card, totally blanked out","scrambled off the bus, kept my cool, deactivate my card"
,,"Eva, check your belongings","get shivers, check on your belongings"
Concert,"2-3. Do you have any special places or a specific time for listening to the music? When and Where do you usually listen to music? Also, do you use any special equipment for listening to music?","As a lover of music, two playlits.","as a music-lover, two playlists"
,,"(When/Wherever) Go out for work at bus , get off work at bus, during the work via streaming service","on my commute, off the work, boost up my concentration"
,,(Equipment) now Open-type wireless earphones.,"open-ear earphones, look like earrings, swimmer's ear, sweaty workouts"
,,"Yeah, indeed it's a perfect gadget for listening to music during workouts. Eva, why don't you get one?","a perfect gadget, why don't you get one?"
Concert,2-4. Tell me about the devices you use to listen to music. How are they different from the devices you have had in the past? Please tell me the differences in detail,"Well, like many others do, smartphone app using wireless earphones. Development of technology",development of technology
,,"my first CD player, the mark of a trendy student, ipod, iphone, connectivity","wired earphones, the mark of a trendy student, seen the meme, old man's gadget, the true turning point"
,,"connectivity, had to download musics, nowadays streaming platforms, AI, subscription fee, satisfy now","connectivity, one-by-one, quite a tedious job, streaming platforms, based on our preferences, a small subscription fee"
,,That's it eva!,
Concert,2-5. Who was your favorite singer when you were young and who is your favorite singer these days? Please tell me about some of your favorites the past and today,(Opening) A few names just popped up in my head,popped up in my head
,,(Past) Student. ballads over upbeat. IU. fan club. Didn't get boy/girl groups,"preferred ballads to upbeat, pure and emotional voice, signed up her fan club, ended up with my marriage, quite noisy"
,,"(Present) BTS changed everything. World cup half-time, Dynamite","my conviction crashed, powerful and energetic, catchy beat, caught my ears, stuck in my head"
,,"(Closing) Eva, are you in ARMY? Let's go together","echoed over the stadium, humming the Korean song, ARMY"
Household,3-1. Tell me about your responsibilities in your house. What kinds of housework do you usually do? Tell me about them in detail,"Let me think.. my family and a hous keeper, some chores left to share",left to share
,,(Fisrt) What I do most is dishwashing.,"frankly speaking, not me, on the opposite side, best inventings, mankind, liberating me, tedious labor"
,,"(Second) Another house chore on me is laundry.","a tremendous amount, harmful to our health, hang up the laundry, I always have my plan, a full course"
,,"(Closing) Eva, my credo is to fully utilize the modern conveniences.","my credo, modern conveniences, check out Samsung store"
Household,3-2. Tell me about your housework from the past. What did your parents expect you to do when you were young? How was your housework changed over the years?,The changes in my house chores over the years? Let me think.,over the years
,,(Past) I didn't have to do any special thing at home.,"clean up after myself, rearrange my toys, into the sink, put more emphasis on"
,,(Present) Now I am a husband of my wife and father of my children,"feel sorry for, my sons' preferences, ketchup on top, volunteer for, nothing to fear"
,,(Closing) This is how my household responsibilities have changed from time to time.,what about you?
Household,3-3. Did you ever get in trouble for not fulfilling your household responsibilities as a child? When did it happen? What were you supposed to do? Please tell me about what happened and how it turned out in the end,"Sure,sure, we were told to clean up after ourselves","as if it were yesterday, clean up after ourselves, slipped our mind, distracted by cartoons, lying around, hit the ceiling, scolded, no sweets for dessert"
,,"From that incident on, ~~ thos habits have stuck us ever since.","from that incident on, stuck with us ever since, slipped their minds"
,,That's it Eva!,
Household,3-4. ★14. I would like to now talk about where you live. How has the style of homes changed over the past 5 years at where you live? Are the homes being built today different from the homes built 10 years ago? What developments or changes have you noticed?,"living in a brand-new apartment in Seoul now, but past, outskirts on Soeul","brand-new apartment, the outskirts of Seoul"
,,"When I was young, spacious backyard, rose gardening, catch bugs","freestanding house, spacious backyard, took full advantage, all blooming, memories that I cherish"
,,"After got married, huge community center, connected to the internet","huge community center, connected to the internet, the video feed, locate my car, call the elevator, IOT features"
,,"Eva, didn't you say that you live in an apartment How do you like you house?",how do you like your house?
